t,open_price,close_price,high_price,low_price,volumn
20171109204900,8115000,8116000,8117000,8112000,3.89150266
20171109205000,8114000,8114000,8117000,8113000,1.58990228
20171109205100,8114000,8113000,8114000,8112000,2.57919055
20171109205200,8113000,8113000,8114000,8108000,2.21925382
20171109205300,8112000,8111000,8112000,8111000,1.50563811
20171109205400,8111000,8112000,8112000,8106000,4.25103189
20171109205500,8111000,8112000,8113000,8111000,1.84372915
20171109205600,8113000,8143000,8143000,8112000,2.77191625
20171109205700,8143000,8140000,8144000,8121000,0.88478617
20171109205800,8141000,8138000,8141000,8121000,2.37445052
20171109205900,8138000,8122000,8138000,8122000,0.54360333
20171109210000,8137000,8122000,8137000,8121000,0.91803029
20171109210100,8121000,8115000,8121000,8115000,3.26032168
20171109210200,8116000,8110000,8116000,8110000,1.70892134
20171109210300,8110000,8107000,8111000,8105000,4.1885509
20171109210400,8105000,8108000,8108000,8105000,2.26872666
20171109210500,8107000,8108000,8133000,8105000,3.67817929
20171109210600,8105000,8102000,8122000,8102000,3.65363086
20171109210700,8101000,8099000,8102000,8099000,18.10533943
20171109210800,8099000,8070000,8100000,8069000,10.54521792
20171109210900,8070000,8046000,8071000,8045000,8.63944903
20171109211000,8045000,8042000,8046000,8041000,2.38968073
20171109211100,8041000,8049000,8050000,8041000,3.00433042
20171109211200,8088000,8051000,8088000,8049000,6.66524059
20171109211300,8051000,8090000,8090000,8051000,2.73167205
20171109211400,8089000,8090000,8099000,8070000,4.21278474
20171109211500,8090000,8118000,8120000,8074000,1.3228656
20171109211600,8116000,8114000,8117000,8090000,2.07129919
20171109211700,8110000,8103000,8110000,8100000,1.92030141
20171109211800,8102000,8119000,8120000,8102000,5.02383245
20171109211900,8120000,8116000,8131000,8111000,2.00160525
20171109212000,8126000,8116000,8126000,8111000,1.80487124
20171109212100,8115000,8112000,8122000,8111000,2.27139009
20171109212200,8112000,8119000,8129000,8109000,4.09574766
20171109212300,8120000,8120000,8120000,8109000,4.03060233
20171109212400,8129000,8110000,8130000,8110000,2.01995324
20171109212500,8109000,8119000,8120000,8102000,2.27985089
